DatGeracaoConjuntoDados;AnoLeilao;DatLeilao;NumLeilao;DscNumeroLeilaoCCEE;DscTipoLeilao;NomEmpreendimento;CodCEG;IdeNucleoCEG;SigTipoGeracao;DscFonteEnergia;DscDetalhamentoFonteEnergia;MdaPotenciaInstaladaMW;MdaGarantiaFisicaSEL;VlrEnergiaVendida;VlrPrecoTeto;VlrPrecoLeilao;VlrDesagio;VlrInvestimentoPrevisto;MdaDuracaoContrato;SigUFPrincipal;VlrCotacaoDolar;VlrPrecoTetoDolar;VlrPrecoDolar;VlrInvestimentoDolar;DscEmpresaVencedora
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Arvoredo;PCH.PH.SC.028755-5;28755;PCH;Hidro;Hidro;13,00;7,20;7,00;135,00;135,00;,00;53113060,00;30;SC;1,90;68,87;70,87;27882335,03;Centrais Elétricas da Mantiqueira S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Ibirama;PCH.PH.SC.029049-1;29049;PCH;Hidro;Hidro;21,00;13,92;13,00;135,00;134,98;,01;72345000,00;30;SC;1,90;68,87;70,86;37978371,57;Ibirama Energética S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Ester (AMPLIAÇÃO);UTE.AI.SP.000912-1;912;UTE;Biomassa;Bagaço de Cana;37,70;10,20;7,00;140,00;138,90;,78;70000000,00;15;SP;1,90;71,49;72,92;36747335,82;Usina Açucareira Ester S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Santa Cruz AB (AMPLIAÇÃO);UTE.AI.SP.001609-8;1609;UTE;Biomassa;Bagaço de Cana;50,00;28,00;20,00;140,00;138,75;,89;57100000,00;15;SP;1,90;71,49;72,84;29975326,79;Santa Cruz S.A. Açúcar e Álcool
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;São João da Boa Vista  (AMPLIAÇÃO);UTE.AI.SP.027709-6;27709;UTE;Biomassa;Bagaço de Cana;70,00;23,00;23,00;140,00;138,60;1,00;101300000,00;15;SP;1,90;71,49;72,76;53178644,55;Dedini Açúcar e Álcool Ltda..
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Varginha;PCH.PH.MG.027729-0;27729;PCH;Hidro;Hidro;7,00;5,39;4,00;135,00;135,00;,00;,00;30;MG;1,90;68,87;70,87;,00;Centrais Elétricas da Mantiqueira S.A.
2022-10-01;2007;2007-06-18;2007/3;1° LFA;FA;Florida Paulista (AMPLIAÇÃO);UTE.AI.SP.027751-7;27751;UTE;Biomassa;Bagaço de Cana;55,00;21,80;8,00;140,00;139,12;,62;63700000,00;15;SP;1,90;71,49;73,03;33440075,59;Floralco Açúcar e Álcool Ltda.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Campina Grande;UTE.PE.PB.000612-2;612;UTE;Óleo;Óleo combustível;164,24;123,60;119,00;141,00;132,83;5,79;369806820,00;15;PB;1,92;71,13;68,90;191808516,60;Empresa Borborema Energética S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Termocabo;UTE.GN.PE.028326-6;28326;UTE;Óleo;Óleo combustível;49,70;38,00;38,00;141,00;134,80;4,39;,00;15;PE;1,92;71,13;69,92;,00;Termocabo S.A.
2022-10-01;2007;2007-07-26;2007/2;4° LEN;A-3;Termonordeste;UTE.PE.PB.029641-4;29641;UTE;Óleo;Óleo combustível;170,76;123,80;123,00;141,00;135,97;3,56;162782000,00;15;PB;1,92;71,13;70,52;84430497,93;Termomanaus Ltda.
